BW,Tahoe,Reno,NewReno,Vegas,Tahoe,Reno,NewReno,Vegas,Tahoe,Reno,NewReno,Vegas
1,10.593472,10.593472,10.593472,10.231680,32.625,32.625,32.625,32.533,0.000,0.000,0.000,0.000
2,10.578048,10.578048,10.578048,10.217792,32.667,32.667,32.667,32.571,0.000,0.000,0.000,0.000
3,10.556416,10.556416,10.556416,10.187072,32.739,32.739,32.739,32.667,0.000,0.000,0.000,0.000
4,10.540800,10.540800,10.540800,10.187008,32.787,32.787,32.787,32.667,0.000,0.000,0.000,0.000
5,10.384448,10.384448,10.384448,10.146208,33.280,33.280,33.280,32.800,0.000,0.000,0.000,0.000
6,7.355360,7.639392,7.639392,8.554624,37.812,37.406,37.406,38.904,0.047,0.540,0.540,0.000
7,5.900096,4.410720,6.025440,6.240000,37.498,36.939,37.128,34.667,0.757,0.815,1.135,0.000
8,3.906112,3.479296,4.404736,4.159168,37.634,37.569,37.612,36.000,1.907,1.468,1.620,0.000
9,2.009696,1.438528,2.263744,2.252256,40.389,47.757,41.241,41.776,5.297,4.680,4.717,4.379
10,0.000000,0.000000,0.000000,0.000000,,,,,100.000,100.000,100.000,100.000
