Time,CBR,DropTail/Reno,DropTail/Sack,RED/Reno,RED/Sack,DropTail/Reno,DropTail/Sack,RED/Reno,RED/Sack
0,0,4.485,4.485,4.485,4.485,32.82,32.82,32.82,32.82
1,0,5.084,5.084,5.084,5.084,32.59,32.59,32.59,32.59
2,0,5.158,5.158,5.158,5.158,32.59,32.59,32.59,32.59
3,0,5.084,5.084,5.084,5.084,32.59,32.59,32.59,32.59
4,0,5.067,5.067,5.067,5.067,32.59,32.59,32.59,32.59
5,0,5.158,5.158,5.158,5.158,32.59,32.59,32.59,32.59
6,0,5.1,5.1,5.1,5.1,32.59,32.59,32.59,32.59
7,0,5.05,5.05,5.05,5.05,32.59,32.59,32.59,32.59
8,0,5.158,5.158,5.158,5.158,32.59,32.59,32.59,32.59
9,0,5.117,5.117,5.117,5.117,32.59,32.59,32.59,32.59
10,7.688,1.647,1.756,1.589,1.14,42.04,46.29,42.59,42.73
11,7.984,1.514,1.381,1.506,1.406,41.57,43.12,39.09,39.93
12,7.824,2.172,1.839,2.213,1.464,43.54,43.41,37.83,38.26
13,8,1.98,1.223,2.188,1.381,44.15,42.23,37.36,39.82
14,7.88,1.589,1.764,1.315,1.439,39.59,41.31,38.65,37.96
15,7.848,2.155,1.406,2.063,1.165,43.94,43.44,37.46,41.66
16,8.016,1.431,1.597,1.681,1.722,40.61,40.58,36.97,38.71
17,7.864,2.138,1.697,1.431,1.132,43.44,43.78,37.79,39.25
18,7.92,1.531,1.29,1.997,1.722,41.77,41.46,36.47,38.74
19,7.952,2.047,1.822,1.514,1.065,43.66,42.34,38.22,38.28
20,7.96,1.489,1.306,2.08,1.389,40.76,44.25,37.99,39.53
21,7.832,2.163,1.697,1.523,1.356,44.43,40.6,36.47,37.58
22,8.064,1.389,1.572,1.548,1.256,41,43.92,38.6,41.82
23,7.784,2.213,1.431,2.055,1.631,43.62,41.04,36.66,38.33
24,8.064,1.389,1.822,1.597,1.215,43.37,43.05,39.05,41.23
25,0.152,4.41,3.012,4.534,4.06,32.62,32.8,32.61,32.75
26,0,5.059,5.092,5.1,5.108,32.59,32.59,32.59,32.59
27,0,5.158,5.059,5.1,5.158,32.59,32.59,32.59,32.59
28,0,5.108,5.158,5.108,5.059,32.59,32.59,32.59,32.59
29,0,5.059,5.108,5.108,5.092,32.59,32.59,32.59,32.59
